page	sort	Uppercase	Title Case	Title for Indexing	Disambiguation Key	Uppercase + Key	Title + Key	Indexing + Key	Short Attribution	Italicize short attribution?	Living composer / arranger?	Arr. status
385t	385.1	FIGHT ON	Fight On	Fight On		FIGHT ON	Fight On	Fight On	Rees		-	
385b	385.2	CAN I LEAVE YOU?	Can I Leave You?	Can I Leave You?		CAN I LEAVE YOU?	Can I Leave You?	Can I Leave You?	Rees		-	Arr.
386	386	CHRIST OUR SONG	Christ Our Song	Christ Our Song		CHRIST OUR SONG	Christ Our Song	Christ Our Song	McGraw		-	
387	387	PENICK	Penick	Penick		PENICK	Penick	Penick	Sikes		-	
388	388	THE HAPPY SAILOR	The Happy Sailor	Happy Sailor, The		THE HAPPY SAILOR	The Happy Sailor	Happy Sailor, The	White		-	Arr.
389	389	FREDERICKSBURG	Fredericksburg	Fredericksburg		FREDERICKSBURG	Fredericksburg	Fredericksburg	Frederick		-	
390	390	NEW PROSPECT	New Prospect	New Prospect		NEW PROSPECT	New Prospect	New Prospect	Turner		-	Arr.
391	391	SOUNDING JOY	Sounding Joy	Sounding Joy		SOUNDING JOY	Sounding Joy	Sounding Joy	Morgan		-	
392	392	MANCHESTER	Manchester	Manchester		MANCHESTER	Manchester	Manchester	Denson		-	
393	393	REBEKAH	Rebekah	Rebekah		REBEKAH	Rebekah	Rebekah	Gilmore		Living	
394	394	THE MESSIAH’S PRAISE	The Messiah’s Praise	Messiah’s Praise, The		THE MESSIAH’S PRAISE	The Messiah’s Praise	Messiah’s Praise, The	Mann & Spark		-	
395	395	UNRATH	Unrath	Unrath		UNRATH	Unrath	Unrath	Mose		Living	
396	396	NOTES ALMOST DIVINE	Notes Almost Divine	Notes Almost Divine		NOTES ALMOST DIVINE	Notes Almost Divine	Notes Almost Divine	Denson		-	
397	397	THE FOUNTAIN	The Fountain	Fountain, The		THE FOUNTAIN	The Fountain	Fountain, The	Denson		-	
398	398	THE DYING BOY	The Dying Boy	Dying Boy, The		THE DYING BOY	The Dying Boy	Dying Boy, The	Rees		-	
399t	399.1	THE DYING FRIEND	The Dying Friend	Dying Friend, The		THE DYING FRIEND	The Dying Friend	Dying Friend, The	Wells		-	
399b	399.2	HAPPY CHRISTIAN	Happy Christian	Happy Christian		HAPPY CHRISTIAN	Happy Christian	Happy Christian	Cunningham		-	Arr.
400	400	STRUGGLE ON	Struggle On	Struggle On		STRUGGLE ON	Struggle On	Struggle On	Rees		-	
401	401	CUBA	Cuba	Cuba		CUBA	Cuba	Cuba	Bolen & Rees		-	
402	402	PROTECTION	Protection	Protection	Letson	PROTECTION (Letson)	Protection (Letson)	Protection (Letson)	Letson		-	
403	403	HEAVENLY REST	Heavenly Rest	Heavenly Rest		HEAVENLY REST	Heavenly Rest	Heavenly Rest	Terry		-	
404	404	YOUTH WILL SOON BE GONE	Youth Will Soon Be Gone	Youth Will Soon Be Gone		YOUTH WILL SOON BE GONE	Youth Will Soon Be Gone	Youth Will Soon Be Gone	Rees		-	
405	405	THE MARCELLAS	The Marcellas	Marcellas, The		THE MARCELLAS	The Marcellas	Marcellas, The	Dumas		-	
406	406	NEW HARMONY	New Harmony	New Harmony		NEW HARMONY	New Harmony	New Harmony	Lancaster		-	Arr.
407	407	CHARLTON	Charlton	Charlton		CHARLTON	Charlton	Charlton	Breedlove		-	
408	408	WEEPING MARY	Weeping Mary	Weeping Mary		WEEPING MARY	Weeping Mary	Weeping Mary	Rees		-	
409	409	EXETER	Exeter	Exeter		EXETER	Exeter	Exeter	Bock		Living	
410t	410.1	THE DYING CALIFORNIAN	The Dying Californian	Dying Californian, The		THE DYING CALIFORNIAN	The Dying Californian	Dying Californian, The	Ball & Drinkard		-	Arr. from
410b	410.2	MUTUAL LOVE	Mutual Love	Mutual Love		MUTUAL LOVE	Mutual Love	Mutual Love	Walker		-	
411	411	MORNING PRAYER	Morning Prayer	Morning Prayer		MORNING PRAYER	Morning Prayer	Morning Prayer	Denson		-	
412	412	NEW HOSANNA	New Hosanna	New Hosanna		NEW HOSANNA	New Hosanna	New Hosanna	Rees		-	Arr.
413	413	BUFFAM FALLS	Buffam Falls	Buffam Falls		BUFFAM FALLS	Buffam Falls	Buffam Falls	Eriksen		Living	Arr.
414t	414.1	FAREWELL BRETHREN	Farewell Brethren	Farewell Brethren		FAREWELL BRETHREN	Farewell Brethren	Farewell Brethren	Karlsberg		Living	
414b	414.2	PARTING FRIEND	Parting Friend	Parting Friend		PARTING FRIEND	Parting Friend	Parting Friend	Graham		-	Arr.
415	415	ENDLESS PRAISE	Endless Praise	Endless Praise		ENDLESS PRAISE	Endless Praise	Endless Praise	Wall		-	
416	416	THE CHRISTIAN’S NIGHTLY SONG	The Christian’s Nightly Song	Christian’s Nightly Song, The		THE CHRISTIAN’S NIGHTLY SONG	The Christian’s Nightly Song	Christian’s Nightly Song, The	Pound		-	
417	417	WEEPING PILGRIM	Weeping Pilgrim	Weeping Pilgrim		WEEPING PILGRIM	Weeping Pilgrim	Weeping Pilgrim	Rees		-	
418	418	REES	Rees	Rees		REES	Rees	Rees	Dumas		-	
419	419	MELANCHOLY DAY	Melancholy Day	Melancholy Day		MELANCHOLY DAY	Melancholy Day	Melancholy Day	Rees		-	
420t	420.1	TIDES OF LOVE	Tides of Love	Tides of Love		TIDES OF LOVE	Tides of Love	Tides of Love	Patton		Living	
420b	420.2	BISHOP	Bishop	Bishop		BISHOP	Bishop	Bishop	McGraw		-	
421	421	SWEET MORNING	Sweet Morning	Sweet Morning		SWEET MORNING	Sweet Morning	Sweet Morning	Rees		-	Arr.
422	422	BURDETTE	Burdette	Burdette		BURDETTE	Burdette	Burdette	Denson		-	
423t	423.1	GRANTVILLE	Grantville	Grantville		GRANTVILLE	Grantville	Grantville	Rees		-	
423b	423.2	HALL	Hall	Hall		HALL	Hall	Hall	Velleman		Living	
424	424	SWEET UNION	Sweet Union	Sweet Union		SWEET UNION	Sweet Union	Sweet Union	Rees		-	
425	425	GOLDEN STREETS	Golden Streets	Golden Streets		GOLDEN STREETS	Golden Streets	Golden Streets	Pickard		-	Arr.
426t	426.1	KELLEY	Kelley	Kelley		KELLEY	Kelley	Kelley	Denson		-	
426b	426.2	JASPER	Jasper	Jasper		JASPER	Jasper	Jasper	Denson		-	
428	428	WORLD UNKNOWN	World Unknown	World Unknown		WORLD UNKNOWN	World Unknown	World Unknown	Rees		-	
429	429	RED SANDS	Red Sands	Red Sands		RED SANDS	Red Sands	Red Sands	Parsons		Living	
430	430	ARBACOOCHEE	Arbacoochee	Arbacoochee		ARBACOOCHEE	Arbacoochee	Arbacoochee	Denson		-	
431	431	NEW BETHANY	New Bethany	New Bethany		NEW BETHANY	New Bethany	New Bethany	White		-	
432	432	CHEVES	Cheves	Cheves		CHEVES	Cheves	Cheves	Bradfield		-	
433	433	SPRINGDALE	Springdale	Springdale		SPRINGDALE	Springdale	Springdale	Winters		Living	
434	434	FILLMORE	Fillmore	Fillmore		FILLMORE	Fillmore	Fillmore	Rees		-	
435	435	SACRED REST	Sacred Rest	Sacred Rest		SACRED REST	Sacred Rest	Sacred Rest	Jones		-	
436	436	MORNING SUN	Morning Sun	Morning Sun		MORNING SUN	Morning Sun	Morning Sun	Denson		-	
437	437	ENOCH	Enoch	Enoch		ENOCH	Enoch	Enoch	Mose		Living	
438	438	THE BLIND GIRL	The Blind Girl	Blind Girl, The		THE BLIND GIRL	The Blind Girl	Blind Girl, The	Brown		-	
439	439	JORDAN	Jordan	Jordan	Cagle	JORDAN (Cagle)	Jordan (Cagle)	Jordan (Cagle)	Cagle		-	
440	440	NORTH SALEM	North Salem	North Salem		NORTH SALEM	North Salem	North Salem	Jenks		-	
441	441	RAYMOND	Raymond	Raymond		RAYMOND	Raymond	Raymond	Jenks		-	Arr. from
442	442	NEW JORDAN	New Jordan	New Jordan		NEW JORDAN	New Jordan	New Jordan	Easy Instructor	yes	-	
444	444	ALL SAINTS NEW	All Saints New	All Saints New		ALL SAINTS NEW	All Saints New	All Saints New	Hall		-	
445	445	PASSING AWAY	Passing Away	Passing Away		PASSING AWAY	Passing Away	Passing Away	Watson		-	
446	446	INFINITE DAY	Infinite Day	Infinite Day		INFINITE DAY	Infinite Day	Infinite Day	Edwards		-	
447	447	WONDROUS CROSS	Wondrous Cross	Wondrous Cross		WONDROUS CROSS	Wondrous Cross	Wondrous Cross	Denson		-	
448t	448.1	CONSECRATION	Consecration	Consecration		CONSECRATION	Consecration	Consecration	Turner		-	
448b	448.2	THE GRIEVED SOUL	The Grieved Soul	Grieved Soul, The		THE GRIEVED SOUL	The Grieved Soul	Grieved Soul, The	Hendon		-	Arr.
449	449	LOVELY SOCIAL BAND	Lovely Social Band	Lovely Social Band		LOVELY SOCIAL BAND	Lovely Social Band	Lovely Social Band	Mayers		Living	
450	450	ELDER	Elder	Elder		ELDER	Elder	Elder	Wynn		-	
451	451	MILTON	Milton	Milton		MILTON	Milton	Milton	Mose		Living	
452t	452.1	PETERBOROUGH	Peterborough	Peterborough		PETERBOROUGH	Peterborough	Peterborough	Musical Instructor	yes	-	
452b	452.2	MARTIN	Martin	Martin		MARTIN	Martin	Martin	Marsh		-	
453	453	NEWBURY	Newbury	Newbury		NEWBURY	Newbury	Newbury	Turner		Living	
454	454	THE BETTER LAND	The Better Land	Better Land, The		THE BETTER LAND	The Better Land	Better Land, The	Parris		-	
455	455	SOAR AWAY	Soar Away	Soar Away		SOAR AWAY	Soar Away	Soar Away	Cagle		-	
456	456	SACRED MOUNT	Sacred Mount	Sacred Mount		SACRED MOUNT	Sacred Mount	Sacred Mount	Cagle		-	
457	457	WAYFARING STRANGER	Wayfaring Stranger	Wayfaring Stranger		WAYFARING STRANGER	Wayfaring Stranger	Wayfaring Stranger	Dye		-	Arr.
458	458	FRIENDSHIP	Friendship	Friendship		FRIENDSHIP	Friendship	Friendship	Williams		-	
459	459	HURRICANE CREEK	Hurricane Creek	Hurricane Creek		HURRICANE CREEK	Hurricane Creek	Hurricane Creek	Steel		Living	
460	460	SARDIS	Sardis	Sardis		SARDIS	Sardis	Sardis	Lancaster		-	
461	461	JOHN 3:37	John 3:37	John 3:37		JOHN 3:37	John 3:37	John 3:37	Hamrick		-	
462	462	FAITH AND HOPE	Faith and Hope	Faith and Hope		FAITH AND HOPE	Faith and Hope	Faith and Hope	Cagle		-	
463	463	MOREL	Morel	Morel		MOREL	Morel	Morel	Thoma		Living	
464	464	SHEPPARD	Sheppard	Sheppard		SHEPPARD	Sheppard	Sheppard	Mercer		-	
465	465	WHERE THERE’S NO TROUBLE AND SORROW	Where There’s No Trouble and Sorrow	Where There’s No Trouble and Sorrow		WHERE THERE’S NO TROUBLE AND SORROW	Where There’s No Trouble and Sorrow	Where There’s No Trouble and Sorrow	DeLong		-	
466	466	HAYNES CREEK	Haynes Creek	Haynes Creek		HAYNES CREEK	Haynes Creek	Haynes Creek	Harrison		-	
467	467	LISBON	Lisbon	Lisbon	Read	LISBON (Read)	Lisbon (Read)	Lisbon (Read)	Read		-	
468	468	SOUL’S DELIGHT	Soul’s Delight	Soul’s Delight		SOUL’S DELIGHT	Soul’s Delight	Soul’s Delight	George		Living	
469	469	THY STRENGTH	Thy Strength	Thy Strength		THY STRENGTH	Thy Strength	Thy Strength	Huffman		Living	
470	470	THE MERCY SEAT	The Mercy Seat	Mercy Seat, The		THE MERCY SEAT	The Mercy Seat	Mercy Seat, The	Redding		-	
471	471	BECKET	Becket	Becket		BECKET	Becket	Becket	Velleman		Living	
472	472	AKIN	Akin	Akin		AKIN	Akin	Akin	Brittain		-	
473	473	CARMARTHEN	Carmarthen	Carmarthen		CARMARTHEN	Carmarthen	Carmarthen	Sacra		-	
474	474	MOUNT DESERT	Mount Desert	Mount Desert		MOUNT DESERT	Mount Desert	Mount Desert	Randall		Living	
475	475	A THANKFUL HEART	A Thankful Heart	Thankful Heart, A		A THANKFUL HEART	A Thankful Heart	Thankful Heart, A	Hocutt		-	
476	476	ETERNAL AGES	Eternal Ages	Eternal Ages		ETERNAL AGES	Eternal Ages	Eternal Ages	Velleman		Living	
477	477	LORD, WE ADORE THEE	Lord, We Adore Thee	Lord, We Adore Thee		LORD, WE ADORE THEE	Lord, We Adore Thee	Lord, We Adore Thee	Denson		-	
478	478	HELEN HILLS HILLS	Helen Hills Hills	Helen Hills Hills		HELEN HILLS HILLS	Helen Hills Hills	Helen Hills Hills	Steel		Living	
479	479	CHESTER	Chester	Chester		CHESTER	Chester	Chester	Billings		-	
480	480	REDEMPTION	Redemption	Redemption		REDEMPTION	Redemption	Redemption	Hocutt		-	
481	481	NOVAKOSKI	Novakoski	Novakoski		NOVAKOSKI	Novakoski	Novakoski	Brittain		-	
482	482	MULBERRY GROVE	Mulberry Grove	Mulberry Grove		MULBERRY GROVE	Mulberry Grove	Mulberry Grove	Rees		-	
483	483	GOLDEN GARDENS	Golden Gardens	Golden Gardens		GOLDEN GARDENS	Golden Gardens	Golden Gardens	Schinske		Living	
484t	484.1	MILLBROOK	Millbrook	Millbrook		MILLBROOK	Millbrook	Millbrook	Bruce		Living	
484b	484.2	PARWICH	Parwich	Parwich		PARWICH	Parwich	Parwich	Brown		Living	
485	485	NEW AGATITE	New Agatite	New Agatite		NEW AGATITE	New Agatite	New Agatite	Johnson		Living	
486	486	BENEFICENCE	Beneficence	Beneficence		BENEFICENCE	Beneficence	Beneficence	Billings		-	
487	487	LOWNDES	Lowndes	Lowndes		LOWNDES	Lowndes	Lowndes	Camacho-Cerna		Living	
488	488	RADIANCE	Radiance	Radiance		RADIANCE	Radiance	Radiance	Davis		Living	
489	489	THE SAVIOR’S CALL	The Savior’s Call	Savior’s Call, The		THE SAVIOR’S CALL	The Savior’s Call	Savior’s Call, The	Heritage		-	
490	490	MY SHEPHERD GUIDES	My Shepherd Guides	My Shepherd Guides		MY SHEPHERD GUIDES	My Shepherd Guides	My Shepherd Guides	Godsey		-	
491	491	EAGLES’ WINGS	Eagles’ Wings	Eagles’ Wings		EAGLES’ WINGS	Eagles’ Wings	Eagles’ Wings	Hocutt		-	Arr.
492	492	INVOCATION	Invocation	Invocation	Hamrick	INVOCATION (Hamrick)	Invocation (Hamrick)	Invocation (Hamrick)	Hamrick		-	
493	493	BLESSED ROAD	Blessed Road	Blessed Road		BLESSED ROAD	Blessed Road	Blessed Road	Ivey		Living	
494	494	HARRISON	Harrison	Harrison		HARRISON	Harrison	Harrison	George		Living	
495	495	THE MIDNIGHT CRY	The Midnight Cry	Midnight Cry, The		THE MIDNIGHT CRY	The Midnight Cry	Midnight Cry, The	Southern Harmony	yes	-	
496	496	THE ROCK THAT IS HIGHER THAN I	The Rock That Is Higher than I	Rock That Is Higher than I, The		THE ROCK THAT IS HIGHER THAN I	The Rock That Is Higher than I	Rock That Is Higher than I, The	White		-	Arr.
497t	497.1	NATICK	Natick	Natick		NATICK	Natick	Natick	Wright		Living	
497b	497.2	SUPPLICATION	Supplication	Supplication		SUPPLICATION	Supplication	Supplication	Southern Harmony	yes	-	Arr.
498	498	THE RESURRECTION DAY	The Resurrection Day	Resurrection Day, The		THE RESURRECTION DAY	The Resurrection Day	Resurrection Day, The	Hocutt		-	
499t	499.1	PASTURES GREEN	Pastures Green	Pastures Green		PASTURES GREEN	Pastures Green	Pastures Green	George		Living	
499b	499.2	AT REST	At Rest	At Rest		AT REST	At Rest	At Rest	Frederick		-	
500	500	LIVING HOPE	Living Hope	Living Hope		LIVING HOPE	Living Hope	Living Hope	McGraw		-	
501t	501.1	PENN	Penn	Penn		PENN	Penn	Penn	Ivey		Living	
501b	501.2	O’LEARY	O’Leary	O’Leary		O’LEARY	O’Leary	O’Leary	Mercer		-	
502	502	NEW YORK	New York	New York		NEW YORK	New York	New York	Ceresa		Living	
503	503	LLOYD	Lloyd	Lloyd		LLOYD	Lloyd	Lloyd	Hamrick		-	
504	504	WOOD STREET	Wood Street	Wood Street		WOOD STREET	Wood Street	Wood Street	Hauff		Living	
505	505	WHERE CEASELESS AGES ROLL	Where Ceaseless Ages Roll	Where Ceaseless Ages Roll		WHERE CEASELESS AGES ROLL	Where Ceaseless Ages Roll	Where Ceaseless Ages Roll	Denson		-	
506	506	THE ARK	The Ark	Ark, The		THE ARK	The Ark	Ark, The	Ayers		-	
507	507	WOODLANDS	Woodlands	Woodlands		WOODLANDS	Woodlands	Woodlands	Hall		Living	
508	508	SERMON ON THE MOUNT	Sermon on the Mount	Sermon on the Mount		SERMON ON THE MOUNT	Sermon on the Mount	Sermon on the Mount	Cagle		-	
510	510	CORLEY	Corley	Corley		CORLEY	Corley	Corley	Wilson		-	Arr. from
511	511	THE GREAT REDEEMER	The Great Redeemer	Great Redeemer, The		THE GREAT REDEEMER	The Great Redeemer	Great Redeemer, The	Frederick		-	
512	512	THE SPIRIT SHALL RETURN	The Spirit Shall Return	Spirit Shall Return, The		THE SPIRIT SHALL RETURN	The Spirit Shall Return	Spirit Shall Return, The	Kitchens		-	
513	513	OAKLAND	Oakland	Oakland		OAKLAND	Oakland	Oakland	Smead		Living	
514	514	CHOCTAWHATCHEE	Choctawhatchee	Choctawhatchee		CHOCTAWHATCHEE	Choctawhatchee	Choctawhatchee	Smith		Living	
515	515	ROCKBRIDGE	Rockbridge	Rockbridge		ROCKBRIDGE	Rockbridge	Rockbridge	Chapin		-	Arr. from
516	516	GRANADA	Granada	Granada		GRANADA	Granada	Granada	Ditzler		Living	
517	517	MARS HILL	Mars Hill	Mars Hill		MARS HILL	Mars Hill	Mars Hill	McGraw		-	
518	518	HEAVENLY ANTHEM	Heavenly Anthem	Heavenly Anthem		HEAVENLY ANTHEM	Heavenly Anthem	Heavenly Anthem	Denson		-	
520	520	ATA	Ata	Ata		ATA	Ata	Ata	Stebly		Living	
521	521	PARTING FRIENDS	Parting Friends	Parting Friends	Canant	PARTING FRIENDS (Canant)	Parting Friends (Canant)	Parting Friends (Canant)	Canant		-	
522	522	YE HEEDLESS ONES	Ye Heedless Ones	Ye Heedless Ones		YE HEEDLESS ONES	Ye Heedless Ones	Ye Heedless Ones	Cagle		-	
523	523	JUST FOR A DAY	Just for a Day	Just for a Day		JUST FOR A DAY	Just for a Day	Just for a Day	Walton		-	
524	524	MOONLIGHT	Moonlight	Moonlight		MOONLIGHT	Moonlight	Moonlight	Solheim		Living	
525	525	IMANDRA	Imandra	Imandra		IMANDRA	Imandra	Imandra	Davisson		-	
526	526	SCHWAB	Schwab	Schwab		SCHWAB	Schwab	Schwab	Wright		Living	
527	527	MY LIFE AND BREATH	My Life and Breath	My Life and Breath		MY LIFE AND BREATH	My Life and Breath	My Life and Breath	McGraw		-	
528	528	SHOWERS OF BLESSINGS	Showers of Blessings	Showers of Blessings		SHOWERS OF BLESSINGS	Showers of Blessings	Showers of Blessings	Stone		-	Arr. from
530	530	A GLAD NEW SONG	A Glad New Song	Glad New Song, A		A GLAD NEW SONG	A Glad New Song	Glad New Song, A	McGraw		-	
531	531	CLAYTON	Clayton	Clayton		CLAYTON	Clayton	Clayton	Hinton & Godfrey		Living	
532	532	PEACE AND JOY	Peace and Joy	Peace and Joy		PEACE AND JOY	Peace and Joy	Peace and Joy	Denson		-	
534	534	NEW GEORGIA	New Georgia	New Georgia		NEW GEORGIA	New Georgia	New Georgia	Edwards		-	
535	535	SHAWMUT	Shawmut	Shawmut		SHAWMUT	Shawmut	Shawmut	Mason		-	
536	536	SWEET MAJESTY	Sweet Majesty	Sweet Majesty		SWEET MAJESTY	Sweet Majesty	Sweet Majesty	Cagle		-	
537	537	PORTSMOUTH	Portsmouth	Portsmouth		PORTSMOUTH	Portsmouth	Portsmouth	Songs of Zion	yes	-	
538	538	HAMPTON	Hampton	Hampton		HAMPTON	Hampton	Hampton	Doolittle		-	
539	539	SIMENA	Simena	Simena		SIMENA	Simena	Simena	Dakan		Living	
540	540	NIDRAH	Nidrah	Nidrah		NIDRAH	Nidrah	Nidrah	Hamrick		-	
541	541	WILLKIE	Willkie	Willkie		WILLKIE	Willkie	Willkie	George		Living	
542	542	I’LL SEEK HIS BLESSINGS	I’ll Seek His Blessings	I’ll Seek His Blessings		I’LL SEEK HIS BLESSINGS	I’ll Seek His Blessings	I’ll Seek His Blessings	Cagle		-	
543	543	THOU ART GOD	Thou Art God	Thou Art God		THOU ART GOD	Thou Art God	Thou Art God	Edwards		-	
544	544	YOUTHFUL BLESSINGS	Youthful Blessings	Youthful Blessings		YOUTHFUL BLESSINGS	Youthful Blessings	Youthful Blessings	Gardner		-	
545	545	SOMERS	Somers	Somers		SOMERS	Somers	Somers	Jenks		-	
546	546	MY BRIGHTEST DAYS	My Brightest Days	My Brightest Days		MY BRIGHTEST DAYS	My Brightest Days	My Brightest Days	Parris		-	
547	547	GRANVILLE	Granville	Granville		GRANVILLE	Granville	Granville	Hauff		Living	
548	548	WOOTTEN	Wootten	Wootten		WOOTTEN	Wootten	Wootten	McGraw		-	
549	549	PHILLIPS’ FAREWELL	Phillips’ Farewell	Phillips’ Farewell		PHILLIPS’ FAREWELL	Phillips’ Farewell	Phillips’ Farewell	McGraw		-	
550	550	BLISSFUL DAWNING	Blissful Dawning	Blissful Dawning		BLISSFUL DAWNING	Blissful Dawning	Blissful Dawning	Cagle		-	
551	551	JACOB’S VISION	Jacob’s Vision	Jacob’s Vision		JACOB’S VISION	Jacob’s Vision	Jacob’s Vision	Wright		-	Arr.
553	553	ANTHEM ON THE BEGINNING	Anthem on the Beginning	Anthem on the Beginning		ANTHEM ON THE BEGINNING	Anthem on the Beginning	Anthem on the Beginning	Denson		-	
556	556	PORTLAND	Portland	Portland		PORTLAND	Portland	Portland	Maxim		-	
557	557	NEW FAREWELL	New Farewell	New Farewell		NEW FAREWELL	New Farewell	New Farewell	Southern Harmony	yes	-	
558	558	LIVING STREAMS	Living Streams	Living Streams		LIVING STREAMS	Living Streams	Living Streams	McGraw		-	
560	560	MY HOME	My Home	My Home		MY HOME	My Home	My Home	Avery		-	
561	561	CUNNINGHAM	Cunningham	Cunningham		CUNNINGHAM	Cunningham	Cunningham	Stoddard		Living	
562	562	MOURNFUL JOY	Mournful Joy	Mournful Joy		MOURNFUL JOY	Mournful Joy	Mournful Joy	Cleary		Living	
563	563	SUFFIELD	Suffield	Suffield		SUFFIELD	Suffield	Suffield	King		-	
564	564	ZION	Zion	Zion		ZION	Zion	Zion	Hocutt		-	
565t	565.1	HEBRON	Hebron	Hebron		HEBRON	Hebron	Hebron	Mason		-	
565b	565.2	THE HILL OF ZION	The Hill of Zion	Hill of Zion, The		THE HILL OF ZION	The Hill of Zion	Hill of Zion, The	White		-	
566	566	GUM POND	Gum Pond	Gum Pond		GUM POND	Gum Pond	Gum Pond	Lloyd		Living	
567	567	THE GREAT DAY	The Great Day	Great Day, The		THE GREAT DAY	The Great Day	Great Day, The	Rees		-	Arr.
568	568	I WANT TO GO TO HEAVEN	I Want to Go to Heaven	I Want to Go to Heaven		I WANT TO GO TO HEAVEN	I Want to Go to Heaven	I Want to Go to Heaven	Kitchens		-	
569t	569.1	EMMAUS	Emmaus	Emmaus		EMMAUS	Emmaus	Emmaus	Hamrick		-	
569b	569.2	SACRED THRONE	Sacred Throne	Sacred Throne		SACRED THRONE	Sacred Throne	Sacred Throne	Wilson		-	Arr. from
570	570	SLEEPERS AWAKE!	Sleepers Awake!	Sleepers Awake!		SLEEPERS AWAKE!	Sleepers Awake!	Sleepers Awake!	Hamrick		-	
571	571	HAMRICK	Hamrick	Hamrick		HAMRICK	Hamrick	Hamrick	Karlsberg		Living	
572	572	THE LAMB OF GOD	The Lamb of God	Lamb of God, The		THE LAMB OF GOD	The Lamb of God	Lamb of God, The	Miller		-	
573	573	HARPETH VALLEY	Harpeth Valley	Harpeth Valley		HARPETH VALLEY	Harpeth Valley	Harpeth Valley	Cagle		-	
574	574	THOMASTON	Thomaston	Thomaston		THOMASTON	Thomaston	Thomaston	Karlsberg		Living	
575	575	LISBON	Lisbon	Lisbon	Chandler	LISBON (Chandler)	Lisbon (Chandler)	Lisbon (Chandler)	Chandler		-	
